image_name,xmin,xmax,ymin,ymax,class_id
7f0a8b9b-f636-492d-ba95-b5f6b6348dd2_1_aug_316.jpg,16,27,21,34,2
7f0a8b9b-f636-492d-ba95-b5f6b6348dd2_1_aug_316.jpg,27,37,21,33,9
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1090.jpg,16,25,21,34,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1090.jpg,26,35,20,34,7
3f867195-ce14-4d94-a9f9-314f49abca22_aug_240.jpg,21,27,23,36,1
3f867195-ce14-4d94-a9f9-314f49abca22_aug_240.jpg,26,35,23,36,7
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_aug_1722.jpg,18,27,21,35,2
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_aug_1722.jpg,28,35,21,35,1
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1288.jpg,16,25,19,31,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1288.jpg,27,36,18,31,7
3ab1eef6-edd7-4585-9b21-67214d3a3a4e_aug_1279.jpg,18,27,22,35,8
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1448.jpg,18,27,17,31,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1448.jpg,28,37,16,31,7
f4fa3128-0cc4-4500-8c7a-aa12756bc4da_aug_1043.jpg,18,27,22,36,1
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1573.jpg,19,28,19,31,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1573.jpg,28,37,18,31,7
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_1_aug_1605.jpg,14,24,22,35,2
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_1_aug_1605.jpg,26,33,22,35,1
e50877af-ec93-47cf-8ba9-459c88217e96_1_aug_906.jpg,13,20,19,31,1
e50877af-ec93-47cf-8ba9-459c88217e96_1_aug_906.jpg,20,30,19,32,9
d970727b-8f4d-437a-afa3-da77d544a7b2_aug_1349.jpg,13,21,19,33,1
d970727b-8f4d-437a-afa3-da77d544a7b2_aug_1349.jpg,22,32,19,34,10
3ab1eef6-edd7-4585-9b21-67214d3a3a4e_aug_1454.jpg,20,29,23,36,8
75011dfe-9b57-41b7-970c-cc92ac560fdd_aug_1309.jpg,18,25,20,34,1
75011dfe-9b57-41b7-970c-cc92ac560fdd_aug_1309.jpg,24,32,20,34,1
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1982.jpg,15,24,17,30,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_1982.jpg,24,33,16,30,7
7a68989f-a37d-434b-8778-d32515b92bf1_aug_1750.jpg,18,30,19,34,9
eff0dc2d-1b4c-452e-a878-28a85d20a285_aug_1967.jpg,16,24,18,32,1
eff0dc2d-1b4c-452e-a878-28a85d20a285_aug_1967.jpg,24,33,16,32,6
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_206.jpg,18,27,17,31,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_206.jpg,28,37,16,31,7
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_243.jpg,16,25,20,33,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_243.jpg,26,35,19,34,7
d970727b-8f4d-437a-afa3-da77d544a7b2_aug_1900.jpg,14,22,21,34,1
d970727b-8f4d-437a-afa3-da77d544a7b2_aug_1900.jpg,23,33,21,35,10
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_1_aug_1655.jpg,17,27,19,32,2
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_1_aug_1655.jpg,28,35,19,32,1
5034e189-7100-4531-a6a7-89c44e51af5e_aug_1153.jpg,16,26,20,34,2
5034e189-7100-4531-a6a7-89c44e51af5e_aug_1153.jpg,26,37,19,36,4
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_475.jpg,17,26,20,34,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_475.jpg,26,35,19,34,7
7f0a8b9b-f636-492d-ba95-b5f6b6348dd2_aug_791.jpg,18,29,21,35,2
7f0a8b9b-f636-492d-ba95-b5f6b6348dd2_aug_791.jpg,29,39,21,35,9
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_626.jpg,17,26,21,34,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_626.jpg,27,36,20,34,7
3df050ff-09fc-4dfa-b4b3-34c671c80205_aug_319.jpg,18,27,23,36,7
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_661.jpg,16,25,20,33,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_661.jpg,26,35,19,33,7
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_703.jpg,16,25,19,32,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_703.jpg,27,36,18,32,7
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_786.jpg,13,22,20,33,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_786.jpg,24,33,19,33,7
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_840.jpg,18,27,21,33,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_840.jpg,28,37,20,33,7
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_934.jpg,16,25,18,30,2
1e87590d-37df-4ffc-8d1f-491b8d653be4_aug_934.jpg,26,35,17,30,7
9c79af07-a45d-46c8-8b7a-6d16d8b78354_1_aug_203.jpg,21,28,23,36,1
9c79af07-a45d-46c8-8b7a-6d16d8b78354_1_aug_203.jpg,28,36,22,36,3
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_aug_1770.jpg,17,26,20,34,2
31ebb753-24a4-4a0a-b02a-abb3bae0e70c_aug_1770.jpg,27,34,20,34,1
